#Prompt,#ITConvos,Prompt,History(n),Context,Precision,Recall,F1,Accuracy,FP,FN,TP,TN,#FTMessages,#FTConvos
21,40,"State if the tone/intent of the following message in the conversation above is negative (even if it is slightly negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.5070422535211268,0.782608695652174,0.6153846153846154,0.8132780082987552,35,10,36,160,241,35
21,40,"State if the tone/intent of the following message in the conversation above is negative (even if it is slightly negative) or not: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.5072463768115942,0.7608695652173914,0.6086956521739131,0.8132780082987552,34,11,35,161,241,35
30,40,"State if the tone/intent of the following message in the conversation above may be perceived negatively by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.4594594594594595,0.7083333333333334,0.5573770491803279,0.7954545454545454,40,14,34,176,264,37
30,40,"State if the tone/intent of the following message in the conversation above may be perceived negatively by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.463768115942029,0.6666666666666666,0.5470085470085471,0.7992424242424242,37,16,32,179,264,37
30,40,"State if the tone/intent of the following message in the conversation above may be perceived negatively by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.4722222222222222,0.7083333333333334,0.5666666666666667,0.803030303030303,38,14,34,178,264,37
30,40,"State if the tone/intent of the following message in the conversation above may be perceived negatively by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.4594594594594595,0.7083333333333334,0.5573770491803279,0.7954545454545454,40,14,34,176,264,37
30,40,"State if the tone/intent of the following message in the conversation above may be perceived negatively by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.43478260869565216,0.6382978723404256,0.5172413793103449,0.78125,39,17,30,170,256,36
30,40,"State if the tone/intent of the following message in the conversation above may be perceived negatively by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.4393939393939394,0.6304347826086957,0.5178571428571429,0.7759336099585062,37,17,29,158,241,35
40,40,"State if the sentiment of the following message in the conversation above may be perceived as negative by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.36893203883495146,0.7916666666666666,0.5033112582781457,0.7159090909090909,65,10,38,151,264,37
40,40,"State if the sentiment of the following message in the conversation above may be perceived as negative by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.35514018691588783,0.7916666666666666,0.49032258064516127,0.7007575757575758,69,10,38,147,264,37
40,40,"State if the sentiment of the following message in the conversation above may be perceived as negative by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.40404040404040403,0.8333333333333334,0.54421768707483,0.7462121212121212,59,8,40,157,264,37
40,40,"State if the sentiment of the following message in the conversation above may be perceived as negative by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.3894736842105263,0.8222222222222222,0.5285714285714285,0.7370517928286853,58,8,37,148,251,35
40,40,"State if the sentiment of the following message in the conversation above may be perceived as negative by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.3894736842105263,0.7872340425531915,0.5211267605633803,0.734375,58,10,37,151,256,36
40,40,"State if the sentiment of the following message in the conversation above may be perceived as negative by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.391304347826087,0.782608695652174,0.5217391304347826,0.7261410788381742,56,10,36,139,241,35
41,40,"State if the sentiment of the following message in the conversation above may be perceived as anger by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.5957446808510638,0.5833333333333334,0.5894736842105263,0.8522727272727273,19,20,28,197,264,37
41,40,"State if the sentiment of the following message in the conversation above may be perceived as anger by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.8560606060606061,19,19,29,197,264,37
41,40,"State if the sentiment of the following message in the conversation above may be perceived as anger by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.6585365853658537,0.5625,0.6067415730337078,0.8674242424242424,14,21,27,202,264,37
41,40,"State if the sentiment of the following message in the conversation above may be perceived as anger by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.7105263157894737,0.5625,0.627906976744186,0.8787878787878788,11,21,27,205,264,37
41,40,"State if the sentiment of the following message in the conversation above may be perceived as anger by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.6,0.6382978723404256,0.6185567010309279,0.85546875,20,17,30,189,256,36
41,40,"State if the sentiment of the following message in the conversation above may be perceived as anger by the recipient: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.5833333333333334,0.5957446808510638,0.5894736842105263,0.84765625,20,19,28,189,256,36
42,40,"State if the sentiment of the following message in the conversation above is negative: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.37373737373737376,0.7708333333333334,0.5034013605442177,0.7234848484848485,62,11,37,154,264,37
42,40,"State if the sentiment of the following message in the conversation above is negative: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.4044943820224719,0.75,0.5255474452554744,0.7537878787878788,53,12,36,163,264,37
42,40,"State if the sentiment of the following message in the conversation above is negative: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.42168674698795183,0.7446808510638298,0.5384615384615385,0.765625,48,12,35,161,256,36
42,40,"State if the sentiment of the following message in the conversation above is negative: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.4266666666666667,0.7111111111111111,0.5333333333333334,0.7768924302788844,43,13,32,163,251,35
42,40,"State if the sentiment of the following message in the conversation above is negative: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.4,0.7659574468085106,0.5255474452554744,0.74609375,54,11,36,155,256,36
42,40,"State if the sentiment of the following message in the conversation above is negative: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.42857142857142855,0.75,0.5454545454545454,0.7669491525423728,44,11,33,148,236,34
43,40,"State if the sentiment of the following message in the conversation above is angry: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,True,0.7096774193548387,0.4583333333333333,0.5569620253164557,0.8674242424242424,9,26,22,207,264,37
43,40,"State if the sentiment of the following message in the conversation above is angry: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",0,False,0.7407407407407407,0.4166666666666667,0.5333333333333333,0.8674242424242424,7,28,20,209,264,37
43,40,"State if the sentiment of the following message in the conversation above is angry: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,True,0.8421052631578947,0.3333333333333333,0.4776119402985075,0.8674242424242424,3,32,16,213,264,37
43,40,"State if the sentiment of the following message in the conversation above is angry: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",1,False,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.8712121212121212,2,32,16,214,264,37
43,40,"State if the sentiment of the following message in the conversation above is angry: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,True,0.84,0.4375,0.5753424657534247,0.8825757575757576,4,27,21,212,264,37
43,40,"State if the sentiment of the following message in the conversation above is angry: 
 @rukhshan@ 
 Format output like this: ""Y"" for yes and ""N"" for no.",2,False,0.8148148148148148,0.4583333333333333,0.5866666666666666,0.8825757575757576,5,26,22,211,264,37
50,40,"Is the tone of the following message in the conversation above angry: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and """"N"""" if no.",0,True,0.7037037037037037,0.3958333333333333,0.5066666666666667,0.8598484848484849,8,29,19,208,264,37
50,40,"Is the tone of the following message in the conversation above angry: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and """"N"""" if no.",0,False,0.7407407407407407,0.4166666666666667,0.5333333333333333,0.8674242424242424,7,28,20,209,264,37
50,40,"Is the tone of the following message in the conversation above angry: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and """"N"""" if no.",1,True,0.8823529411764706,0.3125,0.46153846153846156,0.8674242424242424,2,33,15,214,264,37
50,40,"Is the tone of the following message in the conversation above angry: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and """"N"""" if no.",1,False,0.8095238095238095,0.3617021276595745,0.5,0.8671875,4,30,17,205,256,36
50,40,"Is the tone of the following message in the conversation above angry: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and """"N"""" if no.",2,True,0.8260869565217391,0.40425531914893614,0.5428571428571428,0.875,4,28,19,205,256,36
50,40,"Is the tone of the following message in the conversation above angry: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and """"N"""" if no.",2,False,0.8636363636363636,0.41304347826086957,0.5588235294117647,0.8755186721991701,3,27,19,192,241,35
51,40,"Is the tone of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",0,True,0.4375,0.7291666666666666,0.546875,0.7803030303030303,45,13,35,171,264,37
51,40,"Is the tone of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",0,False,0.43209876543209874,0.7291666666666666,0.5426356589147286,0.7765151515151515,46,13,35,170,264,37
51,40,"Is the tone of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",1,True,0.4794520547945205,0.7446808510638298,0.5833333333333333,0.8046875,38,12,35,171,256,36
51,40,"Is the tone of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",1,False,0.4583333333333333,0.7333333333333333,0.5641025641025641,0.796812749003984,39,12,33,167,251,35
51,40,"Is the tone of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",2,True,0.5223880597014925,0.7446808510638298,0.6140350877192982,0.828125,32,12,35,177,256,36
51,40,"Is the tone of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",2,False,0.47058823529411764,0.7272727272727273,0.5714285714285714,0.7966101694915254,36,12,32,156,236,34
52,40,"Is the intent of the following message in the conversation above to show anger: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",0,True,0.8421052631578947,0.3333333333333333,0.4776119402985075,0.8674242424242424,3,32,16,213,264,37
52,40,"Is the intent of the following message in the conversation above to show anger: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",0,False,0.9047619047619048,0.3958333333333333,0.5507246376811594,0.8825757575757576,2,29,19,214,264,37
52,40,"Is the intent of the following message in the conversation above to show anger: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",1,True,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.8712121212121212,2,32,16,214,264,37
52,40,"Is the intent of the following message in the conversation above to show anger: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",1,False,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.8712121212121212,2,32,16,214,264,37
52,40,"Is the intent of the following message in the conversation above to show anger: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",2,True,0.8181818181818182,0.375,0.5142857142857142,0.8712121212121212,4,30,18,212,264,37
52,40,"Is the intent of the following message in the conversation above to show anger: 
 @rukhshan@ 
 Format output like this: ""Y"" if yes and ""N"" if no.",2,False,0.85,0.3541666666666667,0.5,0.8712121212121212,3,31,17,213,264,37
53,40,"Is the intent of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: """"Y"""" if yes and """"N"""" if no.",0,True,0.5,0.6875,0.5789473684210527,0.8181818181818182,33,15,33,183,264,37
53,40,"Is the intent of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: """"Y"""" if yes and """"N"""" if no.",0,False,0.4794520547945205,0.7291666666666666,0.5785123966942148,0.8068181818181818,38,13,35,178,264,37
53,40,"Is the intent of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: """"Y"""" if yes and """"N"""" if no.",1,True,0.5254237288135594,0.6595744680851063,0.5849056603773585,0.828125,28,16,31,181,256,36
53,40,"Is the intent of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: """"Y"""" if yes and """"N"""" if no.",1,False,0.4782608695652174,0.717391304347826,0.5739130434782609,0.8108108108108109,36,13,33,177,259,36
53,40,"Is the intent of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: """"Y"""" if yes and """"N"""" if no.",2,True,0.532258064516129,0.7333333333333333,0.6168224299065419,0.8366533864541833,29,12,33,177,251,35
53,40,"Is the intent of the following message in the conversation above negative: 
 @rukhshan@ 
 Format output like this: """"Y"""" if yes and """"N"""" if no.",2,False,0.4696969696969697,0.7045454545454546,0.5636363636363637,0.7966101694915254,35,13,31,157,236,34
